"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2017;"AD";"";0,181818181818182;0,181818181818182;0,181818181818182;0,181818181818182;0,181818181818182;"Terrestre"
2018;"AD";"";0,0625;0,0625;0,0625;0,0625;0,0625;"Terrestre"
2019;"AD";"";0,25;0,25;0,25;0,25;0,25;"Terrestre"
2020;"AD";"";0,266666666666667;0,266666666666667;0,266666666666667;0,266666666666667;0,266666666666667;"Terrestre"
2021;"AD";"";0,0909090909090909;0,0909090909090909;0,0909090909090909;0,0909090909090909;0,0909090909090909;"Terrestre"
1989;"AD";"Court";0,111189358372457;0,11189358372457;0,112676056338028;0,212588028169014;0,302508802816901;"Terrestre"
1990;"AD";"Court";0,0298421807747489;0,0660600364547733;0,0833333333333333;0,121416267942584;0,181294511939673;"Terrestre"
1991;"AD";"Court";0;0,0441176470588235;0,0689655172413793;0,126865671641791;0,17032614278377;"Terrestre"
1992;"AD";"Court";0;0,041305525460455;0,0474825523429711;0,0994519664732431;0,222549019607843;"Terrestre"
1993;"AD";"Court";0;0,00914634146341464;0,0606699201419698;0,142970272904483;0,178320032739922;"Terrestre"
1994;"AD";"Court";0;0,0313740079365079;0,10612968591692;0,148209064327485;0,187097812097812;"Terrestre"
1995;"AD";"Court";0;0;0,0652173913043478;0,176128229069406;0,222212722298222;"Terrestre"
1996;"AD";"Court";0;0,0351515151515152;0,0515463917525773;0,121565776383256;0,193714821763602;"Terrestre"
1997;"AD";"Court";0,00679012345679012;0,0453598221728258;0,0892916528101097;0,127751196172249;0,195526459356247;"Terrestre"
1998;"AD";"Court";0;0;0,0153846153846154;0,115740740740741;0,158433572104338;"Terrestre"
1999;"AD";"Court";0;0;0,0403183023872679;0,115530303030303;0,190924220010758;"Terrestre"
2000;"AD";"Court";0;0;0,037417196825605;0,0756003430531732;0,105143868463119;"Terrestre"
2001;"AD";"Court";0;0;0,0637963544940289;0,123160173160173;0,280049019607843;"Terrestre"
2002;"AD";"Court";0;0;0,0610411072092543;0,111961451247166;0,181991239892183;"Terrestre"
2003;"AD";"Court";0;0;0,0652173913043478;0,125;0,165795257374205;"Terrestre"
2004;"AD";"Court";0;0;0,0454545454545455;0,0814063556457066;0,129464285714286;"Terrestre"
2005;"AD";"Court";0;0;0,0311000959385993;0,0827702702702703;0,1828125;"Terrestre"
2006;"AD";"Court";0;0;0,0645161290322581;0,106796116504854;0,198536585365854;"Terrestre"
2007;"AD";"Court";0;0,009375;0,0771903698188136;0,112021857923497;0,19198275862069;"Terrestre"
2008;"AD";"Court";0;0;0,0526315789473684;0,092807924203273;0,182908163265306;"Terrestre"
2009;"AD";"Court";0;0;0,0597014925373134;0,107624181748171;0,195625662778367;"Terrestre"
2010;"AD";"Court";0;0,0185185185185185;0,075;0,108695652173913;0,220805084745763;"Terrestre"
2011;"AD";"Court";0;0;0,0588235294117647;0,0940448113207547;0,163953488372093;"Terrestre"
2012;"AD";"Court";0;0;0,037037037037037;0,0935960591133005;0,160939440993789;"Terrestre"
2013;"AD";"Court";0;0;0,0615530303030303;0,121766444937177;0,247907053394858;"Terrestre"
2014;"AD";"Court";0;0,0225430597771023;0,0645161290322581;0,118823529411765;0,210526315789474;"Terrestre"
2015;"AD";"Court";0;0;0,0645161290322581;0,117647058823529;0,199849962490623;"Terrestre"
2016;"AD";"Court";0;0;0,0439613526570048;0,0878842676311031;0,152097602739726;"Terrestre"
2017;"AD";"Court";0;0,0222567287784679;0,06125;0,103657372039725;0,188616071428571;"Terrestre"
2018;"AD";"Court";0;0;0,0697674418604651;0,113961038961039;0,242630483787064;"Terrestre"
2019;"AD";"Court";0;0;0,0631648936170213;0,090034965034965;0,154826732673267;"Terrestre"
2020;"AD";"Court";0;0,0269927536231884;0,072289156626506;0,105823068309071;0,22875;"Terrestre"
2021;"AD";"Court";0;0;0,0404411764705882;0,102866473149492;0,17927807486631;"Terrestre"
1989;"JUV";"Court";0,00623876266753841;0,0134745831971232;0,0215143837855508;0,0295541843739784;0,0367900049035633;"Terrestre"
1990;"JUV";"Court";0;0,0110507470058032;0,0216651542649728;0,0432588075880759;0,0976503759398496;"Terrestre"
1991;"JUV";"Court";0;0;0;0,024390243902439;0,0358548399303716;"Terrestre"
1992;"JUV";"Court";0;0,00903614457831325;0,0211517165005537;0,0325041806020067;0,0862309223623092;"Terrestre"
1993;"JUV";"Court";0;0;0,00934579439252336;0,0293896804004621;0,0714285714285714;"Terrestre"
1994;"JUV";"Court";0,00227272727272727;0,0272727272727273;0,0416666666666667;0,0576923076923077;0,128427128427128;"Terrestre"
1995;"JUV";"Court";0;0;0,0108695652173913;0,0331436223635755;0,0770314192849404;"Terrestre"
1996;"JUV";"Court";0;0;0;0,049290780141844;0,0909090909090909;"Terrestre"
1997;"JUV";"Court";0;0;0,0210526315789474;0,0350724637681159;0,058267587113741;"Terrestre"
1998;"JUV";"Court";0;0;0;0,026273022751896;0,0675971877584781;"Terrestre"
1999;"JUV";"Court";0;0;0,016379365180332;0,0427031509121061;0,0821868916288125;"Terrestre"
2000;"JUV";"Court";0;0;0;0,0266666666666667;0,0578376150570133;"Terrestre"
2001;"JUV";"Court";0;0;0;0,0394736842105263;0,0628289473684211;"Terrestre"
2002;"JUV";"Court";0;0;0,0172413793103448;0,0434782608695652;0,0793650793650795;"Terrestre"
2003;"JUV";"Court";0;0;0;0,0238095238095238;0,06083403463702;"Terrestre"
2004;"JUV";"Court";0;0;0;0,0204081632653061;0,0680603948896631;"Terrestre"
2005;"JUV";"Court";0;0;0;0,0191509433962264;0,0684575507545326;"Terrestre"
2006;"JUV";"Court";0;0;0,00957019567632231;0,0315020161290323;0,0888257575757576;"Terrestre"
2007;"JUV";"Court";0;0;0,0192307692307692;0,0317540322580645;0,0882352941176471;"Terrestre"
2008;"JUV";"Court";0;0;0;0,0208423795049935;0,091014799154334;"Terrestre"
2009;"JUV";"Court";0;0;0;0,0357142857142857;0,137012987012987;"Terrestre"
2010;"JUV";"Court";0;0;0;0,0274131274131274;0,0834500718390804;"Terrestre"
2011;"JUV";"Court";0;0;0,00657894736842105;0,0349127906976744;0,100411184210526;"Terrestre"
2012;"JUV";"Court";0;0;0;0,00940452091767881;0,0915570175438596;"Terrestre"
2013;"JUV";"Court";0;0;0;0,0349206349206349;0,125098039215686;"Terrestre"
2014;"JUV";"Court";0;0;0,0128289473684211;0,036144578313253;0,0866327474560592;"Terrestre"
2015;"JUV";"Court";0;0;0;0,0278637770897833;0,0988095238095238;"Terrestre"
2016;"JUV";"Court";0;0;0;0,0238095238095238;0,06625;"Terrestre"
2017;"JUV";"Court";0;0;0,0132456140350877;0,0389301351608605;0,112777777777778;"Terrestre"
2018;"JUV";"Court";0;0;0;0,0337570621468927;0,0909090909090909;"Terrestre"
2019;"JUV";"Court";0;0;0;0,0217391304347826;0,082943143812709;"Terrestre"
2020;"JUV";"Court";0;0;0,0144927536231884;0,0344827586206897;0,101010101010101;"Terrestre"
2021;"JUV";"Court";0;0;0;0,0178571428571429;0,0714285714285714;"Terrestre"
1989;"AD";"Long";0,103353658536585;0,110459662288931;0,118355222013759;0,126250781738587;0,133356785490932;"Terrestre"
1990;"AD";"Long";0,0206851119894598;0,0714285714285714;0,111111111111111;0,11340206185567;0,164718028132662;"Terrestre"
1991;"AD";"Long";0;0,0339342523860021;0,0666666666666667;0,0898989898989899;0,143610421836228;"Terrestre"
1992;"AD";"Long";0;0,0394736842105263;0,0765993265993266;0,0995169082125604;0,137301587301587;"Terrestre"
1993;"AD";"Long";0;0;0,0357142857142857;0,0930335097001764;0,159919390953874;"Terrestre"
1994;"AD";"Long";0,00517241379310344;0,0484913793103448;0,0851063829787234;0,150293255131965;0,243951612903226;"Terrestre"
1995;"AD";"Long";0;0;0;0,0769230769230769;0,255625;"Terrestre"
1996;"AD";"Long";0;0;0,072463768115942;0,107373271889401;0,271206690561529;"Terrestre"
1997;"AD";"Long";0,0053030303030303;0,0450757575757576;0,0664855072463768;0,105913978494624;0,188333333333333;"Terrestre"
1998;"AD";"Long";0;0;0;0,0825;0,162817796610169;"Terrestre"
1999;"AD";"Long";0,042859375;0,06859375;0,124289772727273;0,206412337662338;0,303498376623377;"Terrestre"
2000;"AD";"Long";0;0;0;0,0638297872340425;0,197287032013022;"Terrestre"
2001;"AD";"Long";0;0;0,116188769414576;0,199815270935961;0,299632352941176;"Terrestre"
2002;"AD";"Long";0;0;0,0754985754985755;0,187794811320755;0,255769230769231;"Terrestre"
2003;"AD";"Long";0;0,00384615384615385;0,0819397993311037;0,149867374005305;0,227272727272727;"Terrestre"
2004;"AD";"Long";0;0;0,0410958904109589;0,09375;0,221428571428572;"Terrestre"
2005;"AD";"Long";0;0;0,0526315789473684;0,135772357723577;0,227447552447552;"Terrestre"
2006;"AD";"Long";0;0,0495827196858125;0,0810810810810811;0,143039591315453;0,191193181818182;"Terrestre"
2007;"AD";"Long";0;0;0,0495901639344262;0,11780303030303;0,180523255813953;"Terrestre"
2008;"AD";"Long";0;0;0,0750232991612302;0,128045867176302;0,257034632034632;"Terrestre"
2009;"AD";"Long";0;0;0,0854545454545454;0,152884615384615;0,294117647058824;"Terrestre"
2010;"AD";"Long";0;0;0,0917366946778712;0,130434782608696;0,26162486938349;"Terrestre"
2011;"AD";"Long";0;0;0,0459770114942529;0,127016129032258;0,202469711090401;"Terrestre"
2012;"AD";"Long";0;0;0,0410509031198686;0,135834109972041;0,199583333333333;"Terrestre"
2013;"AD";"Long";0;0,00847457627118644;0,0869565217391304;0,164965986394558;0,230521091811414;"Terrestre"
2014;"AD";"Long";0;0;0,0897321428571429;0,166422287390029;0,25438829787234;"Terrestre"
2015;"AD";"Long";0;0;0,0863354037267081;0,142857142857143;0,252511961722488;"Terrestre"
2016;"AD";"Long";0;0;0,0593944099378882;0,109203296703297;0,194083717864206;"Terrestre"
2017;"AD";"Long";0;0,0106382978723404;0,0588235294117647;0,0960061443932412;0,18452380952381;"Terrestre"
2018;"AD";"Long";0;0;0,0769230769230769;0,133333333333333;0,310714285714286;"Terrestre"
2019;"AD";"Long";0;0;0,0454545454545455;0,123161764705882;0,220769230769231;"Terrestre"
2020;"AD";"Long";0;0,0181818181818182;0,0869565217391304;0,133333333333333;0,229120879120879;"Terrestre"
2021;"AD";"Long";0;0;0,0402576489533011;0,0909090909090909;0,260729166666666;"Terrestre"
1989;"JUV";"Long";0,0333333333333333;0,0333333333333333;0,0333333333333333;0,0333333333333333;0,0333333333333333;"Terrestre"
1990;"JUV";"Long";0;0;0;0,04;0,0834117647058824;"Terrestre"
1991;"JUV";"Long";0;0;0,0172413793103448;0,0909090909090909;0,0934659090909091;"Terrestre"
1992;"JUV";"Long";0;0,015625;0,0697115384615385;0,0874125874125874;0,15719696969697;"Terrestre"
1993;"JUV";"Long";0,00227272727272727;0,0227272727272727;0,0454545454545455;0,066205533596838;0,0848814229249012;"Terrestre"
1994;"JUV";"Long";0,00104166666666666;0,0104166666666667;0,0208333333333333;0,03125;0,040625;"Terrestre"
1995;"JUV";"Long";0;0;0;0;0;"Terrestre"
1996;"JUV";"Long";0,0457246376811594;0,0659420289855072;0,0884057971014493;0,110869565217391;0,131086956521739;"Terrestre"
1997;"JUV";"Long";0,0025;0,025;0,05;0,0704545454545455;0,0888636363636364;"Terrestre"
1998;"JUV";"Long";0;0;0;0;0,189473684210526;"Terrestre"
1999;"JUV";"Long";0,00147058823529411;0,0147058823529412;0,0294117647058824;0,0441176470588235;0,0573529411764706;"Terrestre"
2000;"JUV";"Long";0;0;0;0,0196078431372549;0,0428698752228164;"Terrestre"
2001;"JUV";"Long";0;0;0;0,0625;0,0776785714285714;"Terrestre"
2002;"JUV";"Long";0;0;0;0,021505376344086;0,0642857142857143;"Terrestre"
2003;"JUV";"Long";0;0;0,0416666666666667;0,058277027027027;0,0947802197802198;"Terrestre"
2004;"JUV";"Long";0;0;0;0;0,0385106382978724;"Terrestre"
2005;"JUV";"Long";0;0;0;0,0535996835443038;0,0833333333333333;"Terrestre"
2006;"JUV";"Long";0;0;0;0,0526315789473684;0,150769230769231;"Terrestre"
2007;"JUV";"Long";0;0;0;0;0,0671321160042964;"Terrestre"
2008;"JUV";"Long";0;0;0;0,0408476658476658;0,0874797077922078;"Terrestre"
2009;"JUV";"Long";0;0;0;0,0204081632653061;0,0805457746478873;"Terrestre"
2010;"JUV";"Long";0;0;0;0,0281862745098039;0,0575980392156863;"Terrestre"
2011;"JUV";"Long";0;0;0;0,0417391304347826;0,0714285714285714;"Terrestre"
2012;"JUV";"Long";0;0;0;0,0263157894736842;0,0601612903225806;"Terrestre"
2013;"JUV";"Long";0;0,00657894736842105;0,051150895140665;0,0769230769230769;0,0892045454545455;"Terrestre"
2014;"JUV";"Long";0;0;0;0,04;0,116666666666667;"Terrestre"
2015;"JUV";"Long";0;0;0;0,00684931506849315;0,0749441964285714;"Terrestre"
2016;"JUV";"Long";0;0;0;0,0513784461152882;0,0751373626373626;"Terrestre"
2017;"JUV";"Long";0;0;0;0,0651260504201681;0,148648648648649;"Terrestre"
2018;"JUV";"Long";0;0;0;0,0705980066445183;0,1375;"Terrestre"
2019;"JUV";"Long";0;0;0;0,0384615384615385;0,0790229885057471;"Terrestre"
2020;"JUV";"Long";0;0;0;0,0119047619047619;0,0809659090909091;"Terrestre"
2021;"JUV";"Long";0;0;0;0;0,0470588235294118;"Terrestre"
1997;"AD";"Court";0;0;0;0;0;"STOC-rozo"
1998;"AD";"Court";0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0714285714285714;"STOC-rozo"
1999;"AD";"Court";0;0;0;0,03125;0,059375;"STOC-rozo"
2000;"AD";"Court";0,00357142857142856;0,0357142857142857;0,0714285714285714;0,107142857142857;0,139285714285714;"STOC-rozo"
2001;"AD";"Court";0;0;0;0;0;"STOC-rozo"
2002;"AD";"Court";0,00666666666666667;0,0666666666666667;0,0833333333333333;0,136363636363636;0,172459893048128;"STOC-rozo"
2003;"AD";"Court";0;0;0,0714285714285714;0,125661375661376;0,177536997885835;"STOC-rozo"
2004;"AD";"Court";0;0;0;0;0,117857142857143;"STOC-rozo"
2005;"AD";"Court";0;0;0;0;0,0529411764705883;"STOC-rozo"
2006;"AD";"Court";0;0;0;0,027027027027027;0,0845208845208845;"STOC-rozo"
2007;"AD";"Court";0;0;0,0396062271062271;0,0743589743589744;0,132720588235294;"STOC-rozo"
2008;"AD";"Court";0;0;0;0,0666666666666667;0,0834057971014493;"STOC-rozo"
