"YEAR";"AGE_first";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"BIOGEOREF"
2017;"AD";"";0,181818181818182;0,181818181818182;0,181818181818182;0,181818181818182;0,181818181818182;"Atlantique"
2018;"AD";"";0,0625;0,0625;0,0625;0,0625;0,0625;"Atlantique"
2019;"AD";"";0,25;0,25;0,25;0,25;0,25;"Atlantique"
2020;"AD";"";0,266666666666667;0,266666666666667;0,266666666666667;0,266666666666667;0,266666666666667;"Atlantique"
2021;"AD";"";0,0909090909090909;0,0909090909090909;0,0909090909090909;0,0909090909090909;0,0909090909090909;"Atlantique"
1990;"AD";"Court";0,0505196784922395;0,0661723946784922;0,0776515151515152;0,0945;0,12465;"Atlantique"
1991;"AD";"Court";0,00294117647058824;0,0294117647058824;0,0466666666666667;0,05;0,148181818181818;"Atlantique"
1992;"AD";"Court";0;0;0,0441176470588235;0,0508474576271186;0,237843366452367;"Atlantique"
1993;"AD";"Court";0,00489130434782608;0,0489130434782609;0,111312399355878;0,15811080417434;0,160009975445058;"Atlantique"
1994;"AD";"Court";0,0344494047619048;0,0632440476190476;0,0952380952380952;0,117063492063492;0,136706349206349;"Atlantique"
1995;"AD";"Court";0;0;0,0941176470588235;0,188970588235294;0,190955882352941;"Atlantique"
1996;"AD";"Court";0,00342465753424656;0,0342465753424658;0,0684931506849315;0,102739726027397;0,133561643835616;"Atlantique"
1997;"AD";"Court";0,0827199413489736;0,101392961876833;0,122140762463343;0,142888563049853;0,161561583577713;"Atlantique"
1998;"AD";"Court";0,112414965986395;0,124149659863946;0,13718820861678;0,150226757369614;0,161961451247166;"Atlantique"
1999;"AD";"Court";0,00230769230769231;0,0230769230769231;0,0461538461538462;0,108304195804196;0,16423951048951;"Atlantique"
2000;"AD";"Court";0;0,0310880829015544;0,0655737704918033;0,0847430058555628;0,105583466544873;"Atlantique"
2001;"AD";"Court";0;0,015625;0,0810810810810811;0,131672203765227;0,198879551820728;"Atlantique"
2002;"AD";"Court";0;0;0,0728985001743983;0,160697674418605;0,188830862533693;"Atlantique"
2003;"AD";"Court";0;0;0,0898876404494382;0,126050420168067;0,155170535033235;"Atlantique"
2004;"AD";"Court";0;0;0,0525641025641026;0,0809330628803245;0,126934523809524;"Atlantique"
2005;"AD";"Court";0;0;0,0228623094807543;0,077437106918239;0,181764705882353;"Atlantique"
2006;"AD";"Court";0;0;0,0588235294117647;0,111746361746362;0,2225;"Atlantique"
2007;"AD";"Court";0;0,0503205128205128;0,0874713521772345;0,12015193922431;0,199741379310345;"Atlantique"
2008;"AD";"Court";0;0;0,0487804878048781;0,0909090909090909;0,18265306122449;"Atlantique"
2009;"AD";"Court";0;0;0,0547945205479452;0,102040816326531;0,192851135407906;"Atlantique"
2010;"AD";"Court";0;0,00520833333333333;0,0790625;0,118686868686869;0,218997175141243;"Atlantique"
2011;"AD";"Court";0;0;0,0521778584392014;0,101655138339921;0,184093023255814;"Atlantique"
2012;"AD";"Court";0;0,0227642276422764;0,0638655462184874;0,10243328100471;0,164960195958359;"Atlantique"
2013;"AD";"Court";0;0;0,0606060606060606;0,121212121212121;0,223809523809524;"Atlantique"
2014;"AD";"Court";0;0,0339265850945495;0,0655913978494624;0,118235294117647;0,196461566888396;"Atlantique"
2015;"AD";"Court";0;0;0,0679723502304147;0,135360962566845;0,210641296687808;"Atlantique"
2016;"AD";"Court";0;0,019047619047619;0,0606060606060606;0,102564102564103;0,160378787878788;"Atlantique"
2017;"AD";"Court";0;0,0209339774557166;0,063508064516129;0,103179908326967;0,192003676470588;"Atlantique"
2018;"AD";"Court";0;0,03671875;0,0784615384615385;0,114123376623377;0,243389110456043;"Atlantique"
2019;"AD";"Court";0;0;0,0666666666666667;0,0857142857142857;0,159420500873617;"Atlantique"
2020;"AD";"Court";0;0,0226190476190476;0,063089915548932;0,106103023516237;0,204800207576544;"Atlantique"
2021;"AD";"Court";0;0;0,0404411764705882;0,111111111111111;0,179545454545455;"Atlantique"
1990;"JUV";"Court";0,0124277661993179;0,0253765630920803;0,0508004926108374;0,0798872180451128;0,102725563909774;"Atlantique"
1991;"JUV";"Court";0;0;0;0,0178571428571429;0,0365923441199684;"Atlantique"
1992;"JUV";"Court";0;0;0,0120481927710843;0,0162162162162162;0,0273359073359073;"Atlantique"
1993;"JUV";"Court";0,00163043478260869;0,016304347826087;0,0250205086136177;0,0390835579514825;0,0681940700808625;"Atlantique"
1994;"JUV";"Court";0,0287937062937063;0,0424825174825175;0,0576923076923077;0,0641996891996892;0,0700563325563326;"Atlantique"
1995;"JUV";"Court";0;0;0,0256410256410256;0,0595882990249187;0,0820151679306609;"Atlantique"
1996;"JUV";"Court";0,00227272727272726;0,0227272727272727;0,0454545454545455;0,0681818181818182;0,0886363636363637;"Atlantique"
1997;"JUV";"Court";0,0260869565217391;0,0301003344481605;0,0345596432552954;0,0390189520624303;0,0430323299888517;"Atlantique"
1998;"JUV";"Court";0,0257042253521127;0,026273022751896;0,0269050198627663;0,0275370169736367;0,02810581437342;"Atlantique"
1999;"JUV";"Court";0,00100502512562814;0,0100502512562814;0,0201005025125628;0,0399009975249381;0,0577214430360759;"Atlantique"
2000;"JUV";"Court";0;0;0,0227272727272727;0,029634885117066;0,0634015661491963;"Atlantique"
2001;"JUV";"Court";0;0;0,0210526315789474;0,0516339869281046;0,0629934210526316;"Atlantique"
2002;"JUV";"Court";0;0;0,0166666666666667;0,039386189258312;0,0575303643724696;"Atlantique"
2003;"JUV";"Court";0;0;0;0,0238095238095238;0,0521129622104835;"Atlantique"
2004;"JUV";"Court";0;0;0;0,0174984783931832;0,0488240418118466;"Atlantique"
2005;"JUV";"Court";0;0;0;0,0139006791171477;0,0428826530612245;"Atlantique"
2006;"JUV";"Court";0;0;0;0,0251225490196078;0,0698564593301435;"Atlantique"
2007;"JUV";"Court";0;0;0,0208333333333333;0,0325741525423729;0,0878235294117647;"Atlantique"
2008;"JUV";"Court";0;0;0;0,0206252713851498;0,0680681818181818;"Atlantique"
2009;"JUV";"Court";0;0;0;0,0390807962529274;0,137121212121212;"Atlantique"
2010;"JUV";"Court";0;0;0,00920040147206424;0,0292410714285714;0,0809482758620689;"Atlantique"
2011;"JUV";"Court";0;0;0,0147858230050011;0,0339015151515151;0,0973718317972351;"Atlantique"
2012;"JUV";"Court";0;0;0;0,019187675070028;0,114832535885167;"Atlantique"
2013;"JUV";"Court";0;0;0;0,0393518518518518;0,11843137254902;"Atlantique"
2014;"JUV";"Court";0;0;0,0156288156288156;0,0349209337349398;0,0816551212271153;"Atlantique"
2015;"JUV";"Court";0;0;0,0131000676132522;0,0299953314659197;0,0982142857142857;"Atlantique"
2016;"JUV";"Court";0;0;0;0,024702380952381;0,0845170454545454;"Atlantique"
2017;"JUV";"Court";0;0;0,0117908170342627;0,0347906403940887;0,112777777777778;"Atlantique"
2018;"JUV";"Court";0;0;0;0,0325396825396825;0,0875;"Atlantique"
2019;"JUV";"Court";0;0;0;0,0261441647597254;0,0895348837209302;"Atlantique"
2020;"JUV";"Court";0;0;0,0105555555555556;0,0379818594104308;0,0994949494949495;"Atlantique"
2021;"JUV";"Court";0;0;0;0,0175303121110138;0,0714285714285714;"Atlantique"
1990;"AD";"Long";0,0474025974025974;0,0649350649350649;0,0811688311688312;0,096424496006086;0,111316089767973;"Atlantique"
1991;"AD";"Long";0,00566037735849057;0,0566037735849057;0,0833333333333333;0,0888888888888889;0,147350427350427;"Atlantique"
1992;"AD";"Long";0,00462962962962963;0,0462962962962963;0,0925925925925926;0,117724867724868;0,140343915343915;"Atlantique"
1993;"AD";"Long";0,00476190476190477;0,0476190476190476;0,0952380952380952;0,106060606060606;0,115800865800866;"Atlantique"
1994;"AD";"Long";0,066179435483871;0,0992943548387097;0,136088709677419;0,172883064516129;0,205997983870968;"Atlantique"
1995;"AD";"Long";0;0;0;0,0384615384615385;0,0730769230769231;"Atlantique"
1996;"AD";"Long";0;0;0;0;0;"Atlantique"
1997;"AD";"Long";0,075;0,075;0,075;0,075;0,075;"Atlantique"
1998;"AD";"Long";0,169491525423729;0,169491525423729;0,169491525423729;0,169491525423729;0,169491525423729;"Atlantique"
1999;"AD";"Long";0,174050324675325;0,206412337662338;0,24237012987013;0,278327922077922;0,310689935064935;"Atlantique"
2000;"AD";"Long";0;0;0,0319148936170213;0,124204869488923;0,202251763429192;"Atlantique"
2001;"AD";"Long";0;0;0,0812561094819159;0,151785714285714;0,201939655172414;"Atlantique"
2002;"AD";"Long";0;0;0,0740740740740741;0,188089622641509;0,21713768115942;"Atlantique"
2003;"AD";"Long";0;0,00769230769230769;0,0869565217391304;0,136762127410871;0,213352272727273;"Atlantique"
2004;"AD";"Long";0;0;0,0166666666666667;0,0920516304347826;0,213214285714286;"Atlantique"
2005;"AD";"Long";0;0;0,0555555555555556;0,126797998749218;0,196558441558442;"Atlantique"
2006;"AD";"Long";0;0,0357142857142857;0,0738738738738739;0,0989448352462051;0,182404891304348;"Atlantique"
2007;"AD";"Long";0;0;0,0568733153638814;0,130927835051546;0,176453488372093;"Atlantique"
2008;"AD";"Long";0;0;0,0588235294117647;0,123268036311515;0,24512987012987;"Atlantique"
2009;"AD";"Long";0;0;0,0909090909090909;0,15;0,283180778032037;"Atlantique"
2010;"AD";"Long";0;0;0,0882352941176471;0,126436781609195;0,24264367816092;"Atlantique"
2011;"AD";"Long";0;0;0,0461538461538462;0,130305602716469;0,212864721485411;"Atlantique"
2012;"AD";"Long";0;0,032258064516129;0,0882352941176471;0,166666666666667;0,196666666666667;"Atlantique"
2013;"AD";"Long";0;0,0389805097451274;0,0869565217391304;0,164965986394558;0,25;"Atlantique"
2014;"AD";"Long";0;0,0337209302325581;0,0897321428571429;0,154135338345865;0,260106382978723;"Atlantique"
2015;"AD";"Long";0;0;0,063508064516129;0,135028248587571;0,273366477272727;"Atlantique"
2016;"AD";"Long";0;0;0,0363756613756614;0,102586206896552;0,176875;"Atlantique"
2017;"AD";"Long";0;0,0212765957446809;0,0666666666666667;0,0967741935483871;0,171428571428571;"Atlantique"
2018;"AD";"Long";0;0;0,0789473684210526;0,15;0,243796992481203;"Atlantique"
2019;"AD";"Long";0;0;0,0354676710608914;0,105357142857143;0,2;"Atlantique"
2020;"AD";"Long";0;0,0303030303030303;0,0847457627118644;0,115384615384615;0,2125;"Atlantique"
2021;"AD";"Long";0;0;0,0526315789473684;0,0892857142857143;0,156529516994633;"Atlantique"
1990;"JUV";"Long";0;0;0;0;0;"Atlantique"
1991;"JUV";"Long";0,000431034482758619;0,00431034482758621;0,00862068965517241;0,0129310344827586;0,0168103448275862;"Atlantique"
1992;"JUV";"Long";0,00384615384615385;0,0384615384615385;0,0769230769230769;0,0839160839160839;0,0902097902097902;"Atlantique"
1993;"JUV";"Long";0,00217391304347825;0,0217391304347826;0,0434782608695652;0,0652173913043478;0,0847826086956522;"Atlantique"
1994;"JUV";"Long";0,0416666666666667;0,0416666666666667;0,0416666666666667;0,0416666666666667;0,0416666666666667;"Atlantique"
1995;"JUV";"Long";0;0;0;0;0;"Atlantique"
1997;"JUV";"Long";0,05;0,05;0,05;0,05;0,05;"Atlantique"
1998;"JUV";"Long";0,210526315789474;0,210526315789474;0,210526315789474;0,210526315789474;0,210526315789474;"Atlantique"
1999;"JUV";"Long";0,0588235294117647;0,0588235294117647;0,0588235294117647;0,0588235294117647;0,0588235294117647;"Atlantique"
2000;"JUV";"Long";0;0;0,00980392156862745;0,0260695187165775;0,0435160427807487;"Atlantique"
2001;"JUV";"Long";0;0;0,03125;0,0667162698412698;0,0781001984126984;"Atlantique"
2002;"JUV";"Long";0;0;0;0,0161290322580645;0,0459047619047619;"Atlantique"
2003;"JUV";"Long";0;0,0208333333333333;0,05;0,0627413127413127;0,0978937728937729;"Atlantique"
2004;"JUV";"Long";0;0;0;0;0,0164893617021277;"Atlantique"
2005;"JUV";"Long";0;0;0;0,0565664556962025;0,0833333333333333;"Atlantique"
2006;"JUV";"Long";0;0;0;0,0260840108401084;0,0490890688259109;"Atlantique"
2007;"JUV";"Long";0;0;0;0;0,0707572502685285;"Atlantique"
2008;"JUV";"Long";0;0;0;0,0519480519480519;0,0880073051948052;"Atlantique"
2009;"JUV";"Long";0;0;0;0,0212765957446809;0,0810140845070422;"Atlantique"
2010;"JUV";"Long";0;0;0;0,0290032679738562;0,0577614379084967;"Atlantique"
2011;"JUV";"Long";0;0;0;0,0554545454545455;0,0714285714285714;"Atlantique"
2012;"JUV";"Long";0;0;0;0,0263157894736842;0,0616129032258065;"Atlantique"
2013;"JUV";"Long";0;0,0131578947368421;0,0434782608695652;0,0801282051282051;0,0897727272727273;"Atlantique"
2014;"JUV";"Long";0;0;0;0,0258620689655172;0,0721036585365853;"Atlantique"
2015;"JUV";"Long";0;0;0;0,0273972602739726;0,0761160714285714;"Atlantique"
2016;"JUV";"Long";0;0;0;0,0526315789473684;0,0752747252747253;"Atlantique"
2017;"JUV";"Long";0;0;0;0,0476190476190476;0,154545454545454;"Atlantique"
2018;"JUV";"Long";0;0;0;0,0701827242524917;0,0815705128205128;"Atlantique"
2019;"JUV";"Long";0;0;0;0,0545454545454545;0,0804597701149425;"Atlantique"
2020;"JUV";"Long";0;0;0;0,0269480519480519;0,0830965909090909;"Atlantique"
2021;"JUV";"Long";0;0;0;0;0;"Atlantique"
