"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"HABITAT"
2015;"AD";"ACRSCI";"Long";0;0,0238095238095238;0,121212121212121;0,166666666666667;0,231087470449173;"Terrestre"
2016;"AD";"ACRSCI";"Long";0;0;0,0769230769230769;0,163265306122449;0,237689393939394;"Terrestre"
2017;"AD";"ACRSCI";"Long";0;0,0875;0,108187134502924;0,128024193548387;0,174264705882353;"Terrestre"
2018;"AD";"ACRSCI";"Long";0;0,0227272727272727;0,0909090909090909;0,122536945812808;0,371428571428571;"Terrestre"
2019;"AD";"ACRSCI";"Long";0;0,0357142857142857;0,075;0,131713554987212;0,189657738095238;"Terrestre"
2020;"AD";"ACRSCI";"Long";0;0,0138888888888889;0,0717948717948718;0,132272727272727;0,217879256965944;"Terrestre"
2021;"AD";"ACRSCI";"Long";0;0;0;0;0,113333333333333;"Terrestre"
1990;"JUV";"ACRSCI";"Long";0,00624999999999998;0,0625;0,125;0,1875;0,24375;"Terrestre"
1991;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
1992;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
1993;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
1994;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
1996;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
1997;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
1998;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
1999;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
2000;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
2002;"JUV";"ACRSCI";"Long";0;0;0;0,0357142857142857;0,132142857142857;"Terrestre"
2003;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
2004;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
2005;"JUV";"ACRSCI";"Long";0;0;0;0,102678571428571;0,871428571428571;"Terrestre"
2006;"JUV";"ACRSCI";"Long";0;0;0;0,0238095238095238;0,857142857142857;"Terrestre"
2007;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
2008;"JUV";"ACRSCI";"Long";0;0;0;0,0192307692307692;0,147435897435897;"Terrestre"
2009;"JUV";"ACRSCI";"Long";0;0;0;0;0,145833333333333;"Terrestre"
2010;"JUV";"ACRSCI";"Long";0;0;0;0;0,0447368421052631;"Terrestre"
2011;"JUV";"ACRSCI";"Long";0;0;0;0,0138888888888889;0,127579365079365;"Terrestre"
2012;"JUV";"ACRSCI";"Long";0;0;0;0;0,0392857142857143;"Terrestre"
2013;"JUV";"ACRSCI";"Long";0;0;0;0,0833333333333333;0,451388888888889;"Terrestre"
2014;"JUV";"ACRSCI";"Long";0;0;0;0;0,4125;"Terrestre"
2015;"JUV";"ACRSCI";"Long";0;0;0;0;0,075;"Terrestre"
2016;"JUV";"ACRSCI";"Long";0;0;0;0;0,04125;"Terrestre"
2017;"JUV";"ACRSCI";"Long";0;0;0;0,0691176470588235;0,8425;"Terrestre"
2018;"JUV";"ACRSCI";"Long";0;0;0;0;0,266666666666667;"Terrestre"
2019;"JUV";"ACRSCI";"Long";0;0;0;0,0357142857142857;0,1625;"Terrestre"
2020;"JUV";"ACRSCI";"Long";0;0;0;0;0;"Terrestre"
2021;"JUV";"ACRSCI";"Long";0;0;0;0;0,4;"Terrestre"
1991;"AD";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
1992;"AD";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
1993;"AD";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
1994;"AD";"HIPPOL";"Long";0,142857142857143;0,142857142857143;0,142857142857143;0,142857142857143;0,142857142857143;"Terrestre"
1995;"AD";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
1997;"AD";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
1998;"AD";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
1999;"AD";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2000;"AD";"HIPPOL";"Long";0,230769230769231;0,230769230769231;0,230769230769231;0,230769230769231;0,230769230769231;"Terrestre"
2001;"AD";"HIPPOL";"Long";0,0034090909090909;0,0340909090909091;0,0681818181818182;0,102272727272727;0,132954545454545;"Terrestre"
2002;"AD";"HIPPOL";"Long";0;0;0;0,0833333333333333;0,308333333333333;"Terrestre"
2003;"AD";"HIPPOL";"Long";0;0;0;0;0,0972222222222222;"Terrestre"
2004;"AD";"HIPPOL";"Long";0;0;0;0,0940438871473354;0,327478448275862;"Terrestre"
2005;"AD";"HIPPOL";"Long";0,0142857142857143;0,0833333333333333;0,111111111111111;0,142857142857143;0,408080808080808;"Terrestre"
2006;"AD";"HIPPOL";"Long";0;0;0;0;0,0600000000000001;"Terrestre"
2007;"AD";"HIPPOL";"Long";0;0;0;0,0517857142857143;0,111785714285714;"Terrestre"
2008;"AD";"HIPPOL";"Long";0;0;0,0227272727272727;0,105113636363636;0,184979838709677;"Terrestre"
2009;"AD";"HIPPOL";"Long";0;0;0,125;0,176470588235294;0,325714285714286;"Terrestre"
2010;"AD";"HIPPOL";"Long";0;0,0714285714285714;0,166666666666667;0,1875;0,312820512820513;"Terrestre"
2011;"AD";"HIPPOL";"Long";0;0;0,0357142857142857;0,0817307692307692;0,189806547619048;"Terrestre"
2012;"AD";"HIPPOL";"Long";0;0;0,0263157894736842;0,115942028985507;0,225891861761427;"Terrestre"
2013;"AD";"HIPPOL";"Long";0;0;0,0907103825136612;0,226190476190476;0,292753623188406;"Terrestre"
2014;"AD";"HIPPOL";"Long";0,0105263157894737;0,0625;0,105263157894737;0,125;0,219397993311037;"Terrestre"
2015;"AD";"HIPPOL";"Long";0;0;0,0238095238095238;0,12987012987013;0,15189205955335;"Terrestre"
2016;"AD";"HIPPOL";"Long";0;0;0;0,111111111111111;0,30062893081761;"Terrestre"
2017;"AD";"HIPPOL";"Long";0;0;0;0,0668498168498168;0,101785714285714;"Terrestre"
2018;"AD";"HIPPOL";"Long";0;0;0,109649122807018;0,195833333333333;0,279464285714286;"Terrestre"
2019;"AD";"HIPPOL";"Long";0;0;0,0357142857142857;0,116515837104072;0,350551470588235;"Terrestre"
2020;"AD";"HIPPOL";"Long";0;0;0;0,0789473684210526;0,130344827586207;"Terrestre"
2021;"AD";"HIPPOL";"Long";0;0;0;0,15;0,24375;"Terrestre"
1992;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
1994;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
1995;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2000;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2001;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2002;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2003;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2004;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2005;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2006;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2007;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2008;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2009;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2010;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2011;"JUV";"HIPPOL";"Long";0;0;0;0;0,0951923076923077;"Terrestre"
2012;"JUV";"HIPPOL";"Long";0;0;0;0;0,0625;"Terrestre"
2013;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2014;"JUV";"HIPPOL";"Long";0;0;0;0;0,0916666666666667;"Terrestre"
2015;"JUV";"HIPPOL";"Long";0;0;0;0,0967741935483871;0,866666666666667;"Terrestre"
2016;"JUV";"HIPPOL";"Long";0;0;0;0,0227272727272727;0,0840909090909091;"Terrestre"
2017;"JUV";"HIPPOL";"Long";0;0;0;0,0185185185185185;0,0685185185185185;"Terrestre"
2018;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2019;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2020;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
2021;"JUV";"HIPPOL";"Long";0;0;0;0;0;"Terrestre"
1990;"AD";"LUSMEG";"Long";0,0671794871794872;0,0717948717948718;0,0769230769230769;0,146569646569647;0,209251559251559;"Terrestre"
1991;"AD";"LUSMEG";"Long";0;0;0,1;0,104166666666667;0,169240196078431;"Terrestre"
1992;"AD";"LUSMEG";"Long";0,0107142857142857;0,107142857142857;0,154761904761905;0,1875;0,24375;"Terrestre"
1993;"AD";"LUSMEG";"Long";0;0;0,06;0,125714285714286;0,141142857142857;"Terrestre"
1994;"AD";"LUSMEG";"Long";0,0515151515151515;0,106060606060606;0,166666666666667;0,214912280701754;0,258333333333333;"Terrestre"
1995;"AD";"LUSMEG";"Long";0;0;0,05;0,190384615384615;0,434423076923077;"Terrestre"
1996;"AD";"LUSMEG";"Long";0,161039402173913;0,20414402173913;0,252038043478261;0,299932065217391;0,343036684782609;"Terrestre"
1997;"AD";"LUSMEG";"Long";0,126913265306122;0,144132653061224;0,163265306122449;0,206632653061224;0,245663265306122;"Terrestre"
1998;"AD";"LUSMEG";"Long";0;0;0;0,166666666666667;0,316666666666667;"Terrestre"
1999;"AD";"LUSMEG";"Long";0,364267676767677;0,369949494949495;0,376262626262626;0,382575757575758;0,388257575757576;"Terrestre"
2000;"AD";"LUSMEG";"Long";0,12875;0,1625;0,2;0,225;0,2475;"Terrestre"
2001;"AD";"LUSMEG";"Long";0,0982608695652174;0,2;0,285714285714286;0,347826086956522;0,443873517786561;"Terrestre"
2002;"AD";"LUSMEG";"Long";0,113194444444444;0,133928571428571;0,166666666666667;0,220689655172414;0,349364791288566;"Terrestre"
2003;"AD";"LUSMEG";"Long";0,0884615384615385;0,185714285714286;0,25;0,384191176470588;0,690808823529412;"Terrestre"
2004;"AD";"LUSMEG";"Long";0;0,0576923076923077;0,19375;0,2575;0,358375;"Terrestre"
2005;"AD";"LUSMEG";"Long";0,01;0,0932330827067669;0,183566433566434;0,297697368421053;0,330263157894737;"Terrestre"
2006;"AD";"LUSMEG";"Long";0,0194444444444444;0,121527777777778;0,16025641025641;0,177631578947368;0,311842105263158;"Terrestre"
2007;"AD";"LUSMEG";"Long";0;0;0,0714285714285714;0,176470588235294;0,230147058823529;"Terrestre"
2008;"AD";"LUSMEG";"Long";0,0119047619047619;0,0992063492063492;0,155555555555556;0,270588235294118;0,405185758513932;"Terrestre"
2009;"AD";"LUSMEG";"Long";0;0,0416666666666667;0,0727513227513227;0,346153846153846;0,479807692307692;"Terrestre"
2010;"AD";"LUSMEG";"Long";0;0,0326086956521739;0,116666666666667;0,186363636363636;0,332;"Terrestre"
2011;"AD";"LUSMEG";"Long";0;0,125;0,178571428571429;0,218181818181818;0,357102272727273;"Terrestre"
2012;"AD";"LUSMEG";"Long";0,015625;0,132211538461538;0,16025641025641;0,199561403508772;0,213815789473684;"Terrestre"
2013;"AD";"LUSMEG";"Long";0,014;0,095;0,182539682539683;0,229166666666667;0,31875;"Terrestre"
2014;"AD";"LUSMEG";"Long";0;0,2;0,277777777777778;0,333333333333333;0,422222222222222;"Terrestre"
2015;"AD";"LUSMEG";"Long";0;0,0416666666666667;0,1125;0,163594470046083;0,369516129032258;"Terrestre"
2016;"AD";"LUSMEG";"Long";0;0,0588235294117647;0,153846153846154;0,307692307692308;0,866666666666667;"Terrestre"
2017;"AD";"LUSMEG";"Long";0,0580555555555556;0,0913461538461539;0,133928571428571;0,2375;0,282792207792208;"Terrestre"
2018;"AD";"LUSMEG";"Long";0;0;0,142857142857143;0,25;0,39375;"Terrestre"
2019;"AD";"LUSMEG";"Long";0;0;0,192028985507246;0,276785714285714;0,333333333333333;"Terrestre"
2020;"AD";"LUSMEG";"Long";0;0,0113636363636364;0,167832167832168;0,281818181818182;0,353787878787879;"Terrestre"
2021;"AD";"LUSMEG";"Long";0;0,1;0,176470588235294;0,214285714285714;0,384736842105263;"Terrestre"
1990;"JUV";"LUSMEG";"Long";0;0;0;0,0333333333333333;0,0633333333333333;"Terrestre"
1991;"JUV";"LUSMEG";"Long";0;0;0;0,125;0,1925;"Terrestre"
1992;"JUV";"LUSMEG";"Long";0;0;0,0769230769230769;0,177884615384615;0,242788461538462;"Terrestre"
1993;"JUV";"LUSMEG";"Long";0;0;0,03125;0,0746527777777778;0,107465277777778;"Terrestre"
1994;"JUV";"LUSMEG";"Long";0;0;0;0;0;"Terrestre"
1995;"JUV";"LUSMEG";"Long";0;0;0;0;0;"Terrestre"
1996;"JUV";"LUSMEG";"Long";0,00555555555555554;0,0555555555555556;0,111111111111111;0,166666666666667;0,216666666666667;"Terrestre"
1997;"JUV";"LUSMEG";"Long";0;0;0;0,0769230769230769;0,146153846153846;"Terrestre"
1998;"JUV";"LUSMEG";"Long";0;0;0;0,0555555555555556;0,105555555555556;"Terrestre"
1999;"JUV";"LUSMEG";"Long";0;0;0;0;0;"Terrestre"
2000;"JUV";"LUSMEG";"Long";0;0;0;0;0;"Terrestre"
2001;"JUV";"LUSMEG";"Long";0;0;0;0;0,09;"Terrestre"
2002;"JUV";"LUSMEG";"Long";0;0;0;0;0;"Terrestre"
2003;"JUV";"LUSMEG";"Long";0;0;0;0,078525641025641;0,220833333333333;"Terrestre"
2004;"JUV";"LUSMEG";"Long";0;0;0;0,0131578947368421;0,0550438596491228;"Terrestre"
2005;"JUV";"LUSMEG";"Long";0;0;0,0333333333333333;0,0815018315018315;0,108333333333333;"Terrestre"
2006;"JUV";"LUSMEG";"Long";0;0;0,0208333333333333;0,148809523809524;0,166666666666667;"Terrestre"
2007;"JUV";"LUSMEG";"Long";0;0;0;0,0871212121212121;0,296969696969697;"Terrestre"
2008;"JUV";"LUSMEG";"Long";0;0;0;0;0,21875;"Terrestre"
2009;"JUV";"LUSMEG";"Long";0;0;0;0,0416666666666667;0,304166666666667;"Terrestre"
2010;"JUV";"LUSMEG";"Long";0;0;0;0;0;"Terrestre"
2011;"JUV";"LUSMEG";"Long";0;0;0;0;0,11;"Terrestre"
2012;"JUV";"LUSMEG";"Long";0;0;0;0,0625;0,447916666666667;"Terrestre"
2013;"JUV";"LUSMEG";"Long";0;0;0;0,266666666666667;0,616666666666667;"Terrestre"
2014;"JUV";"LUSMEG";"Long";0;0;0;0;0,273333333333333;"Terrestre"
2015;"JUV";"LUSMEG";"Long";0;0;0;0,0277777777777778;0,184444444444444;"Terrestre"
2016;"JUV";"LUSMEG";"Long";0;0;0;0;0,283333333333333;"Terrestre"
2017;"JUV";"LUSMEG";"Long";0;0;0;0,0769230769230769;0,12;"Terrestre"
2018;"JUV";"LUSMEG";"Long";0;0;0;0,0238095238095238;0,166666666666667;"Terrestre"
2019;"JUV";"LUSMEG";"Long";0;0;0;0,107142857142857;0,44375;"Terrestre"
2020;"JUV";"LUSMEG";"Long";0;0;0;0;0,0999999999999999;"Terrestre"
2021;"JUV";"LUSMEG";"Long";0;0;0;0;0;"Terrestre"
1989;"AD";"PHYLUS";"Long";0,2;0,2;0,2;0,2;0,2;"Terrestre"
1990;"AD";"PHYLUS";"Long";0,104342105263158;0,143421052631579;0,17078410311493;0,187755102040816;0,198775510204082;"Terrestre"
1991;"AD";"PHYLUS";"Long";0;0;0,0384615384615385;0,0934065934065934;0,137912087912088;"Terrestre"
1992;"AD";"PHYLUS";"Long";0;0;0,0909090909090909;0,207792207792208;0,277922077922078;"Terrestre"
1993;"AD";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
1994;"AD";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
1995;"AD";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2001;"AD";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2002;"AD";"PHYLUS";"Long";0,0778571428571429;0,135714285714286;0,2;0,225;0,2475;"Terrestre"
2003;"AD";"PHYLUS";"Long";0,00555555555555556;0,0555555555555556;0,111111111111111;0,132478632478632;0,151709401709402;"Terrestre"
2004;"AD";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2005;"AD";"PHYLUS";"Long";0;0;0;0,0277777777777778;0,0527777777777778;"Terrestre"
2006;"AD";"PHYLUS";"Long";0,00576923076923077;0,0576923076923077;0,138461538461538;0,226923076923077;0,299615384615385;"Terrestre"
2007;"AD";"PHYLUS";"Long";0;0;0;0,0681818181818182;0,252272727272727;"Terrestre"
2008;"AD";"PHYLUS";"Long";0,011764705882353;0,117647058823529;0,235294117647059;0,305147058823529;0,368014705882353;"Terrestre"
2009;"AD";"PHYLUS";"Long";0;0;0;0,0952380952380952;0,180952380952381;"Terrestre"
2010;"AD";"PHYLUS";"Long";0,0625;0,0625;0,0625;0,0625;0,0625;"Terrestre"
2011;"AD";"PHYLUS";"Long";0;0;0;0,133333333333333;0,253333333333333;"Terrestre"
2012;"AD";"PHYLUS";"Long";0;0;0;0,0882352941176471;0,167647058823529;"Terrestre"
2013;"AD";"PHYLUS";"Long";0;0;0;0,125;0,2375;"Terrestre"
2014;"AD";"PHYLUS";"Long";0;0;0;0,1;0,19;"Terrestre"
2015;"AD";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2016;"AD";"PHYLUS";"Long";0,230769230769231;0,230769230769231;0,230769230769231;0,230769230769231;0,230769230769231;"Terrestre"
2017;"AD";"PHYLUS";"Long";0;0;0;0,0833333333333333;0,158333333333333;"Terrestre"
2018;"AD";"PHYLUS";"Long";0,125;0,125;0,125;0,125;0,125;"Terrestre"
2019;"AD";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2020;"AD";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
1989;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
1990;"JUV";"PHYLUS";"Long";0;0;0;0,02;0,074;"Terrestre"
1991;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
1992;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
1993;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
1995;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2001;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2002;"JUV";"PHYLUS";"Long";0;0;0;0,125;0,2375;"Terrestre"
2003;"JUV";"PHYLUS";"Long";0,00192307692307692;0,0192307692307692;0,0384615384615385;0,0576923076923077;0,075;"Terrestre"
2004;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2005;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2006;"JUV";"PHYLUS";"Long";0;0;0;0,037037037037037;0,0703703703703704;"Terrestre"
2007;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2008;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2009;"JUV";"PHYLUS";"Long";0;0;0;0,1;0,19;"Terrestre"
2010;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2011;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2012;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2013;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2014;"JUV";"PHYLUS";"Long";0;0;0;0,0625;0,11875;"Terrestre"
2015;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2016;"JUV";"PHYLUS";"Long";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;"Terrestre"
2017;"JUV";"PHYLUS";"Long";0;0;0;0,166666666666667;0,316666666666667;"Terrestre"
2018;"JUV";"PHYLUS";"Long";0,5;0,5;0,5;0,5;0,5;"Terrestre"
2019;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
2020;"JUV";"PHYLUS";"Long";0;0;0;0;0;"Terrestre"
1989;"AD";"SYLBOR";"Long";0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0769230769230769;"Terrestre"
1990;"AD";"SYLBOR";"Long";0,00882352941176471;0,0882352941176471;0,176470588235294;0,193498452012384;0,208823529411765;"Terrestre"
1991;"AD";"SYLBOR";"Long";0,0660416666666667;0,0979166666666667;0,133333333333333;0,143589743589744;0,152820512820513;"Terrestre"
1992;"AD";"SYLBOR";"Long";0;0;0;0,0555555555555556;0,105555555555556;"Terrestre"
1993;"AD";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1995;"AD";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1996;"AD";"SYLBOR";"Long";0,00208333333333333;0,0208333333333333;0,0416666666666667;0,0625;0,08125;"Terrestre"
1997;"AD";"SYLBOR";"Long";0,132173913043478;0,147826086956522;0,165217391304348;0,182608695652174;0,198260869565217;"Terrestre"
1998;"AD";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1999;"AD";"SYLBOR";"Long";0,625;0,625;0,625;0,625;0,625;"Terrestre"
2000;"AD";"SYLBOR";"Long";0,00434782608695653;0,0434782608695652;0,0869565217391304;0,168478260869565;0,241847826086957;"Terrestre"
2001;"AD";"SYLBOR";"Long";0,0125;0,125;0,25;0,375;0,4875;"Terrestre"
2002;"AD";"SYLBOR";"Long";0;0;0,05;0,25;0,340384615384615;"Terrestre"
2003;"AD";"SYLBOR";"Long";0;0;0;0,15;0,275;"Terrestre"
2004;"AD";"SYLBOR";"Long";0;0;0;0,0625;0,23125;"Terrestre"
2005;"AD";"SYLBOR";"Long";0;0;0;0,166666666666667;0,319444444444444;"Terrestre"
2006;"AD";"SYLBOR";"Long";0,00625000000000001;0,0625;0,125;0,1625;0,19625;"Terrestre"
2007;"AD";"SYLBOR";"Long";0,0769230769230769;0,0769230769230769;0,0769230769230769;0,105128205128205;0,130512820512821;"Terrestre"
2008;"AD";"SYLBOR";"Long";0;0;0,0384615384615385;0,0942307692307692;0,206944444444444;"Terrestre"
2009;"AD";"SYLBOR";"Long";0;0;0,111111111111111;0,125;0,421590909090909;"Terrestre"
2010;"AD";"SYLBOR";"Long";0;0;0,05;0,1375;0,23875;"Terrestre"
2011;"AD";"SYLBOR";"Long";0,00394736842105263;0,0394736842105263;0,0596491228070175;0,1125;0,23625;"Terrestre"
2012;"AD";"SYLBOR";"Long";0;0;0,0666666666666667;0,135714285714286;0,142142857142857;"Terrestre"
2013;"AD";"SYLBOR";"Long";0,0902777777777778;0,152777777777778;0,222222222222222;0,325396825396825;0,418253968253968;"Terrestre"
2014;"AD";"SYLBOR";"Long";0;0;0,176470588235294;0,25;0,3625;"Terrestre"
2015;"AD";"SYLBOR";"Long";0;0;0,214285714285714;0,217391304347826;0,353318077803204;"Terrestre"
2016;"AD";"SYLBOR";"Long";0;0;0;0,0714285714285714;0,127142857142857;"Terrestre"
2017;"AD";"SYLBOR";"Long";0;0;0,05;0,125;0,1625;"Terrestre"
2018;"AD";"SYLBOR";"Long";0,0956293706293706;0,138111888111888;0,167832167832168;0,191919191919192;0,219191919191919;"Terrestre"
2019;"AD";"SYLBOR";"Long";0;0;0,1;0,254545454545455;0,422979797979798;"Terrestre"
2020;"AD";"SYLBOR";"Long";0;0,0227272727272727;0,128787878787879;0,229166666666667;0,367788461538462;"Terrestre"
2021;"AD";"SYLBOR";"Long";0;0;0;0,222222222222222;0,365079365079365;"Terrestre"
1989;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1990;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1991;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1992;"JUV";"SYLBOR";"Long";0,00833333333333334;0,0833333333333333;0,166666666666667;0,208333333333333;0,245833333333333;"Terrestre"
1993;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1996;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1997;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1998;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
1999;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2000;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2001;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2002;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2003;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2004;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2005;"JUV";"SYLBOR";"Long";0;0;0;0;0,21875;"Terrestre"
2006;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2007;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2008;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2009;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2010;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2011;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2012;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2013;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2014;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2015;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2016;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2017;"JUV";"SYLBOR";"Long";0;0;0;0,125;0,3125;"Terrestre"
2018;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2019;"JUV";"SYLBOR";"Long";0;0;0;0;0;"Terrestre"
2020;"JUV";"SYLBOR";"Long";0;0;0;0;0,4375;"Terrestre"
