"YEAR";"AGE_first";"SP";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"BIOGEOREF"
1990;"AD";"AEGCAU";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;"Atlantique"
1991;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1992;"AD";"AEGCAU";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375;"Atlantique"
1993;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1994;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1995;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1998;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2000;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2002;"AD";"AEGCAU";"Court";0,285714285714286;0,285714285714286;0,285714285714286;0,285714285714286;0,285714285714286;"Atlantique"
2003;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2004;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2005;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2006;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2007;"AD";"AEGCAU";"Court";0;0;0;0,075;0,2775;"Atlantique"
2008;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2009;"AD";"AEGCAU";"Court";0;0;0,125;0,3125;0,48125;"Atlantique"
2010;"AD";"AEGCAU";"Court";0;0;0,0833333333333333;0,175;0,1975;"Atlantique"
2011;"AD";"AEGCAU";"Court";0;0;0,125;0,270833333333333;0,327083333333333;"Atlantique"
2012;"AD";"AEGCAU";"Court";0,00833333333333333;0,0833333333333333;0,126984126984127;0,145604395604396;0,153021978021978;"Atlantique"
2013;"AD";"AEGCAU";"Court";0;0;0,0384615384615385;0,206730769230769;0,322916666666667;"Atlantique"
2014;"AD";"AEGCAU";"Court";0;0;0;0;0,0825;"Atlantique"
2015;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2016;"AD";"AEGCAU";"Court";0;0;0;0,3;0,4875;"Atlantique"
2017;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2018;"AD";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2019;"AD";"AEGCAU";"Court";0;0;0;0,0833333333333333;0,158333333333333;"Atlantique"
2020;"AD";"AEGCAU";"Court";0;0;0;0,166666666666667;0,316666666666667;"Atlantique"
2021;"AD";"AEGCAU";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375;"Atlantique"
1990;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1991;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1992;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1993;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1994;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1998;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2000;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2002;"JUV";"AEGCAU";"Court";0,00416666666666665;0,0416666666666667;0,0833333333333333;0,125;0,1625;"Atlantique"
2003;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2004;"JUV";"AEGCAU";"Court";0,125;0,125;0,125;0,125;0,125;"Atlantique"
2005;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2006;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2007;"JUV";"AEGCAU";"Court";0,0073170731707317;0,0731707317073171;0,139689578713969;0,198863636363636;0,244886363636364;"Atlantique"
2008;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2009;"JUV";"AEGCAU";"Court";0;0;0;0,166666666666667;0,316666666666667;"Atlantique"
2010;"JUV";"AEGCAU";"Court";0;0;0;0,05;0,185;"Atlantique"
2011;"JUV";"AEGCAU";"Court";0;0;0,0434782608695652;0,115217391304348;0,191521739130435;"Atlantique"
2012;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2013;"JUV";"AEGCAU";"Court";0;0;0;0,0208333333333333;0,0770833333333333;"Atlantique"
2014;"JUV";"AEGCAU";"Court";0;0;0;0,0178571428571429;0,08125;"Atlantique"
2015;"JUV";"AEGCAU";"Court";0;0;0,05;0,0912698412698413;0,111111111111111;"Atlantique"
2016;"JUV";"AEGCAU";"Court";0;0;0;0,125;0,370833333333333;"Atlantique"
2017;"JUV";"AEGCAU";"Court";0;0;0;0;0,0546875;"Atlantique"
2018;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2019;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
2020;"JUV";"AEGCAU";"Court";0;0;0;0,0416666666666667;0,154166666666667;"Atlantique"
2021;"JUV";"AEGCAU";"Court";0;0;0;0;0;"Atlantique"
1990;"AD";"ERIRUB";"Court";0;0;0;0,25;0,925;"Atlantique"
1991;"AD";"ERIRUB";"Court";0;0;0,0555555555555556;0,119047619047619;0,14047619047619;"Atlantique"
1992;"AD";"ERIRUB";"Court";0;0;0;0,1;0,19;"Atlantique"
1993;"AD";"ERIRUB";"Court";0,00714285714285715;0,0714285714285714;0,142857142857143;0,154761904761905;0,16547619047619;"Atlantique"
1994;"AD";"ERIRUB";"Court";0,264912280701754;0,280701754385965;0,298245614035088;0,315789473684211;0,331578947368421;"Atlantique"
1995;"AD";"ERIRUB";"Court";0,0090909090909091;0,0909090909090909;0,181818181818182;0,206293706293706;0,228321678321678;"Atlantique"
1996;"AD";"ERIRUB";"Court";0,00277777777777777;0,0277777777777778;0,0555555555555556;0,0833333333333333;0,108333333333333;"Atlantique"
1997;"AD";"ERIRUB";"Court";0;0;0;0;0;"Atlantique"
1998;"AD";"ERIRUB";"Court";0;0;0;0;0;"Atlantique"
1999;"AD";"ERIRUB";"Court";0,00499999999999998;0,05;0,1;0,15;0,195;"Atlantique"
2000;"AD";"ERIRUB";"Court";0;0;0,0416666666666667;0,0852272727272727;0,0903409090909091;"Atlantique"
2001;"AD";"ERIRUB";"Court";0,00666666666666667;0,0666666666666667;0,222222222222222;0,235294117647059;0,383529411764706;"Atlantique"
2002;"AD";"ERIRUB";"Court";0;0;0,2;0,266666666666667;0,40952380952381;"Atlantique"
2003;"AD";"ERIRUB";"Court";0;0;0,126984126984127;0,2;0,26;"Atlantique"
2004;"AD";"ERIRUB";"Court";0;0;0;0,0868055555555556;0,2375;"Atlantique"
2005;"AD";"ERIRUB";"Court";0;0;0;0;0,222916666666667;"Atlantique"
2006;"AD";"ERIRUB";"Court";0;0;0;0;0,44375;"Atlantique"
2007;"AD";"ERIRUB";"Court";0;0;0;0,151442307692308;0,402777777777778;"Atlantique"
2008;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,256190476190476;"Atlantique"
2009;"AD";"ERIRUB";"Court";0;0;0;0;0,201388888888889;"Atlantique"
2010;"AD";"ERIRUB";"Court";0;0;0;0,153846153846154;0,442307692307692;"Atlantique"
2011;"AD";"ERIRUB";"Court";0;0;0;0;0,271929824561404;"Atlantique"
2012;"AD";"ERIRUB";"Court";0;0;0;0,166666666666667;0,471428571428572;"Atlantique"
2013;"AD";"ERIRUB";"Court";0;0;0,0357142857142857;0,186363636363636;0,440625;"Atlantique"
2014;"AD";"ERIRUB";"Court";0;0;0;0,222222222222222;0,366666666666667;"Atlantique"
2015;"AD";"ERIRUB";"Court";0;0;0;0,205555555555556;0,5425;"Atlantique"
2016;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,457142857142857;"Atlantique"
2017;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,364285714285714;"Atlantique"
2018;"AD";"ERIRUB";"Court";0;0;0,0714285714285714;0,25;0,55;"Atlantique"
2019;"AD";"ERIRUB";"Court";0;0;0,0884615384615385;0,2;0,304166666666667;"Atlantique"
2020;"AD";"ERIRUB";"Court";0;0;0;0,0931818181818182;0,250892857142857;"Atlantique"
2021;"AD";"ERIRUB";"Court";0;0;0;0,142857142857143;0,352380952380953;"Atlantique"
1990;"JUV";"ERIRUB";"Court";0,00182926829268293;0,0182926829268293;0,0455284552845528;0,175;0,4675;"Atlantique"
1991;"JUV";"ERIRUB";"Court";0;0;0;0,0208333333333333;0,0770833333333333;"Atlantique"
1992;"JUV";"ERIRUB";"Court";0;0;0;0,03125;0,059375;"Atlantique"
1993;"JUV";"ERIRUB";"Court";0;0;0;0,0571428571428571;0,108571428571429;"Atlantique"
1994;"JUV";"ERIRUB";"Court";0,06734375;0,0734375;0,0802083333333333;0,0869791666666667;0,0930729166666667;"Atlantique"
1995;"JUV";"ERIRUB";"Court";0,00555555555555556;0,0555555555555556;0,111111111111111;0,113247863247863;0,11517094017094;"Atlantique"
1996;"JUV";"ERIRUB";"Court";0,0083333333333333;0,0833333333333333;0,166666666666667;0,25;0,325;"Atlantique"
1997;"JUV";"ERIRUB";"Court";0;0;0;0;0;"Atlantique"
1998;"JUV";"ERIRUB";"Court";0,142857142857143;0,142857142857143;0,142857142857143;0,142857142857143;0,142857142857143;"Atlantique"
1999;"JUV";"ERIRUB";"Court";0,000531914893617019;0,00531914893617021;0,0106382978723404;0,0159574468085106;0,0207446808510638;"Atlantique"
2000;"JUV";"ERIRUB";"Court";0,00333333333333334;0,0333333333333333;0,0666666666666667;0,0690476190476191;0,0711904761904762;"Atlantique"
2001;"JUV";"ERIRUB";"Court";0;0;0;0;0,0375;"Atlantique"
2002;"JUV";"ERIRUB";"Court";0;0;0;0,0277777777777778;0,117647058823529;"Atlantique"
2003;"JUV";"ERIRUB";"Court";0;0;0;0;0,0515625;"Atlantique"
2004;"JUV";"ERIRUB";"Court";0;0;0;0,0416666666666667;0,1256038647343;"Atlantique"
2005;"JUV";"ERIRUB";"Court";0;0;0;0;0,125;"Atlantique"
2006;"JUV";"ERIRUB";"Court";0;0;0;0;0,0714285714285714;"Atlantique"
2007;"JUV";"ERIRUB";"Court";0;0;0;0,0467032967032967;0,171875;"Atlantique"
2008;"JUV";"ERIRUB";"Court";0;0;0;0;0,130769230769231;"Atlantique"
2009;"JUV";"ERIRUB";"Court";0;0;0;0;0,270769230769231;"Atlantique"
2010;"JUV";"ERIRUB";"Court";0;0;0;0;0,189166666666667;"Atlantique"
2011;"JUV";"ERIRUB";"Court";0;0;0;0,0172413793103448;0,0555555555555556;"Atlantique"
2012;"JUV";"ERIRUB";"Court";0;0;0;0;0,325;"Atlantique"
2013;"JUV";"ERIRUB";"Court";0;0;0;0;0,234375;"Atlantique"
2014;"JUV";"ERIRUB";"Court";0;0;0;0;0,126984126984127;"Atlantique"
2015;"JUV";"ERIRUB";"Court";0;0;0;0,0486111111111111;0,552777777777778;"Atlantique"
2016;"JUV";"ERIRUB";"Court";0;0;0;0;0,193461538461538;"Atlantique"
2017;"JUV";"ERIRUB";"Court";0;0;0;0,037037037037037;0,127777777777778;"Atlantique"
2018;"JUV";"ERIRUB";"Court";0;0;0;0;0,189285714285714;"Atlantique"
2019;"JUV";"ERIRUB";"Court";0;0;0;0,0588235294117647;0,158771929824561;"Atlantique"
2020;"JUV";"ERIRUB";"Court";0;0;0;0;0,117948717948718;"Atlantique"
2021;"JUV";"ERIRUB";"Court";0;0;0;0;0,149675324675325;"Atlantique"
1990;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1991;"AD";"PARCAE";"Court";0;0;0;0,1;0,19;"Atlantique"
1992;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1993;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1995;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1997;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1998;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1999;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2000;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2001;"AD";"PARCAE";"Court";0;0;0;0,166666666666667;0,316666666666667;"Atlantique"
2002;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2003;"AD";"PARCAE";"Court";0;0;0;0,0714285714285714;0,135714285714286;"Atlantique"
2004;"AD";"PARCAE";"Court";0;0;0;0,166666666666667;0,246527777777778;"Atlantique"
2005;"AD";"PARCAE";"Court";0;0;0;0;0,17;"Atlantique"
2006;"AD";"PARCAE";"Court";0;0;0;0;0,225;"Atlantique"
2007;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2008;"AD";"PARCAE";"Court";0;0;0;0;0,4375;"Atlantique"
2009;"AD";"PARCAE";"Court";0;0;0;0;0,3;"Atlantique"
2010;"AD";"PARCAE";"Court";0;0;0,05;0,175;0,4625;"Atlantique"
2011;"AD";"PARCAE";"Court";0;0;0;0;0,141666666666667;"Atlantique"
2012;"AD";"PARCAE";"Court";0;0;0;0;0,075;"Atlantique"
2013;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2014;"AD";"PARCAE";"Court";0;0;0;0;0,121428571428571;"Atlantique"
2015;"AD";"PARCAE";"Court";0;0;0;0,166666666666667;0,39;"Atlantique"
2016;"AD";"PARCAE";"Court";0;0;0;0;0,109375;"Atlantique"
2017;"AD";"PARCAE";"Court";0;0;0;0,107142857142857;0,192857142857143;"Atlantique"
2018;"AD";"PARCAE";"Court";0;0;0;0;0,425;"Atlantique"
2019;"AD";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2020;"AD";"PARCAE";"Court";0;0;0;0;0,225;"Atlantique"
2021;"AD";"PARCAE";"Court";0;0;0;0;0,121428571428571;"Atlantique"
1990;"JUV";"PARCAE";"Court";0,00555555555555554;0,0555555555555556;0,111111111111111;0,166666666666667;0,216666666666667;"Atlantique"
1991;"JUV";"PARCAE";"Court";0;0;0;0,0178571428571429;0,0339285714285714;"Atlantique"
1992;"JUV";"PARCAE";"Court";0;0;0;0,0185185185185185;0,0351851851851852;"Atlantique"
1993;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1994;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1995;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1997;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1998;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
1999;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2000;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2001;"JUV";"PARCAE";"Court";0;0;0;0,166666666666667;0,316666666666667;"Atlantique"
2002;"JUV";"PARCAE";"Court";0;0;0;0;0,1;"Atlantique"
2003;"JUV";"PARCAE";"Court";0;0;0,0405405405405405;0,104928457869634;0,169316375198728;"Atlantique"
2004;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2005;"JUV";"PARCAE";"Court";0;0;0;0;0,0485714285714286;"Atlantique"
2006;"JUV";"PARCAE";"Court";0;0;0;0;0,04375;"Atlantique"
2007;"JUV";"PARCAE";"Court";0;0;0;0,025;0,128928571428571;"Atlantique"
2008;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2009;"JUV";"PARCAE";"Court";0;0;0;0,025;0,11375;"Atlantique"
2010;"JUV";"PARCAE";"Court";0;0;0;0;0,0795454545454545;"Atlantique"
2011;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2012;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2013;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2014;"JUV";"PARCAE";"Court";0;0;0;0,0113636363636364;0,0629545454545455;"Atlantique"
2015;"JUV";"PARCAE";"Court";0;0;0;0;0,121428571428571;"Atlantique"
2016;"JUV";"PARCAE";"Court";0;0;0;0,09375;0,129755434782609;"Atlantique"
2017;"JUV";"PARCAE";"Court";0;0;0;0,0142857142857143;0,0696703296703297;"Atlantique"
2018;"JUV";"PARCAE";"Court";0;0;0;0;0,0772727272727272;"Atlantique"
2019;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2020;"JUV";"PARCAE";"Court";0;0;0;0;0;"Atlantique"
2021;"JUV";"PARCAE";"Court";0;0;0;0;0,0972222222222222;"Atlantique"
1990;"AD";"PARMAJ";"Court";0;0;0;0,05;0,095;"Atlantique"
1991;"AD";"PARMAJ";"Court";0;0;0;0;0;"Atlantique"
1992;"AD";"PARMAJ";"Court";0;0;0;0;0;"Atlantique"
1993;"AD";"PARMAJ";"Court";0,0791666666666667;0,0993589743589744;0,121794871794872;0,144230769230769;0,164423076923077;"Atlantique"
1994;"AD";"PARMAJ";"Court";0,00499999999999998;0,05;0,1;0,15;0,195;"Atlantique"
1995;"AD";"PARMAJ";"Court";0;0;0;0,166666666666667;0,316666666666667;"Atlantique"
1996;"AD";"PARMAJ";"Court";0;0;0;0;0;"Atlantique"
1997;"AD";"PARMAJ";"Court";0;0;0;0;0;"Atlantique"
1998;"AD";"PARMAJ";"Court";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;"Atlantique"
1999;"AD";"PARMAJ";"Court";0,00714285714285712;0,0714285714285714;0,142857142857143;0,214285714285714;0,278571428571429;"Atlantique"
2000;"AD";"PARMAJ";"Court";0;0;0;0,05;0,883333333333333;"Atlantique"
2001;"AD";"PARMAJ";"Court";0;0;0;0;0,145833333333333;"Atlantique"
2002;"AD";"PARMAJ";"Court";0;0;0;0,25;0,9;"Atlantique"
2003;"AD";"PARMAJ";"Court";0;0;0;0;0,125;"Atlantique"
2004;"AD";"PARMAJ";"Court";0;0;0;0,142857142857143;0,311111111111111;"Atlantique"
2005;"AD";"PARMAJ";"Court";0;0;0;0,03125;0,246428571428571;"Atlantique"
2006;"AD";"PARMAJ";"Court";0;0;0;0,075;0,342142857142857;"Atlantique"
2007;"AD";"PARMAJ";"Court";0;0;0;0,075;0,268939393939394;"Atlantique"
2008;"AD";"PARMAJ";"Court";0;0;0;0,170454545454545;0,458333333333333;"Atlantique"
2009;"AD";"PARMAJ";"Court";0;0;0;0;0,500000000000001;"Atlantique"
2010;"AD";"PARMAJ";"Court";0;0;0;0,0875;0,75;"Atlantique"
2011;"AD";"PARMAJ";"Court";0;0;0;0;0,166666666666667;"Atlantique"
2012;"AD";"PARMAJ";"Court";0;0;0;0;0,509523809523809;"Atlantique"
2013;"AD";"PARMAJ";"Court";0;0;0;0;0,41;"Atlantique"
2014;"AD";"PARMAJ";"Court";0;0;0;0;0,167272727272727;"Atlantique"
2015;"AD";"PARMAJ";"Court";0;0;0;0,075;0,5;"Atlantique"
2016;"AD";"PARMAJ";"Court";0;0;0;0,166666666666667;0,46;"Atlantique"
2017;"AD";"PARMAJ";"Court";0;0;0,0714285714285714;0,175;0,46875;"Atlantique"
2018;"AD";"PARMAJ";"Court";0;0;0;0,142857142857143;0,298333333333333;"Atlantique"
2019;"AD";"PARMAJ";"Court";0;0;0;0,0833333333333333;0,4125;"Atlantique"
2020;"AD";"PARMAJ";"Court";0;0;0;0;0,2875;"Atlantique"
2021;"AD";"PARMAJ";"Court";0;0;0;0;0;"Atlantique"
1990;"JUV";"PARMAJ";"Court";0;0;0;0,0517241379310345;0,0982758620689655;"Atlantique"
1991;"JUV";"PARMAJ";"Court";0;0;0;0,025;0,0925;"Atlantique"
1992;"JUV";"PARMAJ";"Court";0;0;0;0;0;"Atlantique"
1993;"JUV";"PARMAJ";"Court";0,00238095238095238;0,0238095238095238;0,0476190476190476;0,0608465608465608;0,0727513227513227;"Atlantique"
1994;"JUV";"PARMAJ";"Court";0,0652027027027027;0,165540540540541;0,277027027027027;0,388513513513513;0,488851351351351;"Atlantique"
1995;"JUV";"PARMAJ";"Court";0;0;0;0;0;"Atlantique"
1996;"JUV";"PARMAJ";"Court";0;0;0;0;0;"Atlantique"
1997;"JUV";"PARMAJ";"Court";0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0769230769230769;0,0769230769230769;"Atlantique"
1998;"JUV";"PARMAJ";"Court";0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0714285714285714;0,0714285714285714;"Atlantique"
1999;"JUV";"PARMAJ";"Court";0,0454545454545455;0,0454545454545455;0,0454545454545455;0,0454545454545455;0,0454545454545455;"Atlantique"
2000;"JUV";"PARMAJ";"Court";0;0;0;0,0625;0,0705357142857143;"Atlantique"
2001;"JUV";"PARMAJ";"Court";0,00588235294117648;0,0588235294117647;0,0689655172413793;0,166666666666667;0,273809523809524;"Atlantique"
2002;"JUV";"PARMAJ";"Court";0;0;0;0;0,225;"Atlantique"
2003;"JUV";"PARMAJ";"Court";0;0;0;0;0,109375;"Atlantique"
2004;"JUV";"PARMAJ";"Court";0;0;0;0,0208333333333333;0,108611111111111;"Atlantique"
2005;"JUV";"PARMAJ";"Court";0;0;0;0;0,0388888888888888;"Atlantique"
2006;"JUV";"PARMAJ";"Court";0;0;0;0;0,149281609195402;"Atlantique"
2007;"JUV";"PARMAJ";"Court";0;0;0;0,0378125;0,145674486803519;"Atlantique"
2008;"JUV";"PARMAJ";"Court";0;0;0;0,0454545454545455;0,1125;"Atlantique"
2009;"JUV";"PARMAJ";"Court";0;0;0;0,0357142857142857;0,135714285714286;"Atlantique"
2010;"JUV";"PARMAJ";"Court";0;0;0;0,01;0,120535714285714;"Atlantique"
2011;"JUV";"PARMAJ";"Court";0;0;0;0,0849673202614379;0,179945054945055;"Atlantique"
2012;"JUV";"PARMAJ";"Court";0;0;0;0;0,0625;"Atlantique"
2013;"JUV";"PARMAJ";"Court";0;0;0;0;0,198809523809524;"Atlantique"
2014;"JUV";"PARMAJ";"Court";0;0;0;0,0277777777777778;0,158333333333333;"Atlantique"
2015;"JUV";"PARMAJ";"Court";0;0;0;0;0,119047619047619;"Atlantique"
2016;"JUV";"PARMAJ";"Court";0;0;0;0;0,129365079365079;"Atlantique"
2017;"JUV";"PARMAJ";"Court";0;0;0;0,03584229390681;0,224166666666667;"Atlantique"
2018;"JUV";"PARMAJ";"Court";0;0;0;0;0,0821323529411763;"Atlantique"
2019;"JUV";"PARMAJ";"Court";0;0;0;0;0,379166666666667;"Atlantique"
2020;"JUV";"PARMAJ";"Court";0;0;0;0,0333333333333333;0,168571428571429;"Atlantique"
2021;"JUV";"PARMAJ";"Court";0;0;0;0;0,100961538461538;"Atlantique"
1990;"AD";"PHYCOL";"Court";0,00423728813559322;0,0423728813559322;0,0847457627118644;0,136122881355932;0,182362288135593;"Atlantique"
1991;"AD";"PHYCOL";"Court";0;0;0;0,0192307692307692;0,0365384615384615;"Atlantique"
1992;"AD";"PHYCOL";"Court";0;0;0;0;0;"Atlantique"
1993;"AD";"PHYCOL";"Court";0,00624999999999998;0,0625;0,125;0,1875;0,24375;"Atlantique"
1994;"AD";"PHYCOL";"Court";0,148148148148148;0,148148148148148;0,148148148148148;0,148148148148148;0,148148148148148;"Atlantique"
1995;"AD";"PHYCOL";"Court";0,00370370370370369;0,037037037037037;0,0740740740740741;0,111111111111111;0,144444444444444;"Atlantique"
1996;"AD";"PHYCOL";"Court";0;0;0;0;0;"Atlantique"
1999;"AD";"PHYCOL";"Court";0,307692307692308;0,307692307692308;0,307692307692308;0,307692307692308;0,307692307692308;"Atlantique"
2000;"AD";"PHYCOL";"Court";0,00555555555555556;0,0555555555555556;0,111111111111111;0,149305555555556;0,183680555555556;"Atlantique"
2001;"AD";"PHYCOL";"Court";0;0;0,1;0,142857142857143;0,194285714285714;"Atlantique"
2002;"AD";"PHYCOL";"Court";0;0,0192307692307692;0,0954545454545455;0,179841897233202;0,248060344827586;"Atlantique"
2003;"AD";"PHYCOL";"Court";0;0;0,0625;0,180124223602484;0,26984126984127;"Atlantique"
2004;"AD";"PHYCOL";"Court";0;0;0;0,0471153846153846;0,185653409090909;"Atlantique"
2005;"AD";"PHYCOL";"Court";0;0;0;0;0,0421874999999999;"Atlantique"
2006;"AD";"PHYCOL";"Court";0;0;0;0;0,21875;"Atlantique"
2007;"AD";"PHYCOL";"Court";0;0;0;0,116013071895425;0,429166666666667;"Atlantique"
2008;"AD";"PHYCOL";"Court";0;0;0;0,0769230769230769;0,148076923076923;"Atlantique"
2009;"AD";"PHYCOL";"Court";0;0;0;0,110714285714286;0,448863636363636;"Atlantique"
2010;"AD";"PHYCOL";"Court";0;0;0;0,0634615384615385;0,194444444444444;"Atlantique"
2011;"AD";"PHYCOL";"Court";0;0;0;0,125;0,197222222222222;"Atlantique"
2012;"AD";"PHYCOL";"Court";0;0;0;0,119047619047619;0,25;"Atlantique"
2013;"AD";"PHYCOL";"Court";0;0;0;0,142857142857143;0,285416666666667;"Atlantique"
2014;"AD";"PHYCOL";"Court";0;0;0,0611111111111111;0,102777777777778;0,166666666666667;"Atlantique"
2015;"AD";"PHYCOL";"Court";0;0;0;0,1;0,358333333333333;"Atlantique"
2016;"AD";"PHYCOL";"Court";0;0;0;0,148717948717949;0,290178571428571;"Atlantique"
2017;"AD";"PHYCOL";"Court";0;0;0;0,105555555555556;0,2875;"Atlantique"
2018;"AD";"PHYCOL";"Court";0;0;0;0,154761904761905;0,466666666666667;"Atlantique"
